,Unnamed: 0,WINTERTIJD,Leveren,Terugleveren,TOTAAL
0,26208,2021-10-01 00:15:00,575,0,575
1,26209,2021-10-01 00:30:00,565,0,565
2,26210,2021-10-01 00:45:00,562,0,562
3,26211,2021-10-01 01:00:00,566,0,566
4,26212,2021-10-01 01:15:00,554,0,554
5,26213,2021-10-01 01:30:00,563,0,563
6,26214,2021-10-01 01:45:00,542,0,542
7,26215,2021-10-01 02:00:00,577,0,577
8,26216,2021-10-01 02:15:00,556,0,556
9,26217,2021-10-01 02:30:00,558,0,558
10,26218,2021-10-01 02:45:00,550,0,550
11,26219,2021-10-01 03:00:00,547,0,547
12,26220,2021-10-01 03:15:00,547,0,547
13,26221,2021-10-01 03:30:00,547,0,547
14,26222,2021-10-01 03:45:00,537,0,537
15,26223,2021-10-01 04:00:00,548,0,548
16,26224,2021-10-01 04:15:00,548,0,548
17,26225,2021-10-01 04:30:00,552,0,552
18,26226,2021-10-01 04:45:00,566,0,566
19,26227,2021-10-01 05:00:00,558,0,558
20,26228,2021-10-01 05:15:00,592,0,592
21,26229,2021-10-01 05:30:00,598,0,598
22,26230,2021-10-01 05:45:00,602,0,602
23,26231,2021-10-01 06:00:00,665,0,665
24,26232,2021-10-01 06:15:00,664,0,664
25,26233,2021-10-01 06:30:00,663,0,663
26,26234,2021-10-01 06:45:00,701,0,701
27,26235,2021-10-01 07:00:00,701,0,701
28,26236,2021-10-01 07:15:00,710,0,710
29,26237,2021-10-01 07:30:00,690,0,690
30,26238,2021-10-01 07:45:00,699,0,699
31,26239,2021-10-01 08:00:00,692,0,692
32,26240,2021-10-01 08:15:00,636,0,636
33,26241,2021-10-01 08:30:00,646,0,646
34,26242,2021-10-01 08:45:00,606,0,606
35,26243,2021-10-01 09:00:00,605,0,605
36,26244,2021-10-01 09:15:00,612,0,612
37,26245,2021-10-01 09:30:00,521,0,521
38,26246,2021-10-01 09:45:00,587,0,587
39,26247,2021-10-01 10:00:00,573,0,573
